timestamp,video_id,confidence,threshold,is_abnormal
2026-02-11T04:45:00.000000,cam1,0.850000,0.161,True
2026-02-08T21:54:32.511131,gui_upload,0.670470,0.161,True
2026-02-08T21:54:42.702066,gui_upload,0.976778,0.161,True
2026-02-08T21:54:55.477925,gui_cam,0.485989,0.161,True
2026-02-08T21:55:06.316448,gui_cam,0.476523,0.161,True
2026-02-08T21:59:25.285080,gui_upload,0.670470,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,logs\20260208_220422_gui_upload_0.670.mp4
2026-02-08T22:23:26.075929,gui_upload,0.670470,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260208_222322_gui_upload_0.670.mp4,alert_start
2026-02-08T22:41:26.719455,test_abnormal,0.742627,0.0,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260208_224122_test_abnormal_0.743.mp4,alert_start
2026-02-08T22:41:30.921526,test_normal,0.742627,0.99,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:49:31.041180,cam1,0.062233,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:49:36.390557,cam1,0.032252,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:49:42.013490,cam1,0.034387,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:49:47.604171,cam1,0.032866,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:49:53.274343,cam1,0.285555,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_194949_cam1_0.286.mp4,alert_start
2026-02-10T19:49:58.882229,cam1,0.994066,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_194954_cam1_0.994.mp4,alert_start
2026-02-10T19:50:04.543652,cam1,0.318582,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_195000_cam1_0.319.mp4,alert_start
2026-02-10T19:50:10.167058,cam1,0.326839,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_195006_cam1_0.327.mp4,alert_start
2026-02-10T19:50:25.635483,cam1,0.004911,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:50:31.091290,cam1,0.005006,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:50:36.742549,cam1,0.005201,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:50:42.361404,cam1,0.005303,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:50:48.036617,cam1,0.005083,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:50:53.648782,cam1,0.004588,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:50:59.264322,cam1,0.004657,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T19:51:04.950055,cam1,0.006835,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:02:32.579243,cam1,0.054678,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:02:38.210776,cam1,0.101299,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:02:43.891975,cam1,0.099790,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:02:49.506267,cam1,0.055697,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:02:55.093079,cam1,0.065452,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:00.635133,cam1,0.068406,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:06.257260,cam1,0.091872,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:11.903682,cam1,0.109213,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:17.626354,cam1,0.115243,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:23.231310,cam1,0.122125,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:28.897847,cam1,0.114489,0.161,False,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,,alert_end
2026-02-10T20:03:34.561294,cam1,0.173851,0.161,True,D:\graduation project\trying\best conv 3d 85%\my_model_fight_cnn_bilstm10 (3).keras,35,128,C:\Users\maher\Desktop\backend\logs\20260210_200330_cam1_0.174.mp4,alert_start
